Nome da Origem;Instituição;Código;Conglomerado Prudencial;Conglomerado Financeiro;Conglomerado Prudencial_1;TCB;TC;TI;Cidade;UF;Data;Captações;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j);_16
dado-instituições-individuais-passivo-12-22.csv;BANCO MASTER S/A;33923798.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;2.0;RIO DE JANEIRO;RJ;2022-12-01;77.864;143.767;17.452.058;602;0;17.674.292;507.794;188.521;0;0;0;0;188.521;0;18.370.606;56443.0;548323.0;18975372.0;;;;
dado-instituições-individuais-passivo-12-22.csv;MASTER S/A CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS;33886862.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;n2;2.0;15.0;RIO DE JANEIRO;RJ;2022-12-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;26402.0;26402.0;;;;
dado-instituições-individuais-passivo-12-22.csv;BANCO MASTER DE INVESTIMENTO S.A.;9526594.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b2;2.0;8.0;RIO DE JANEIRO;RJ;2022-12-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;1156.0;1156.0;;;;
dado-instituições-individuais-passivo-12-23.csv;BANCO MASTER S/A;33923798.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;2.0;RIO DE JANEIRO;RJ;2023-12-01;581.630;3.156.197;26.708.891;3.093;0;30.449.811;925.025;764.526;0;486.487;0;0;1.251.013;0;32.625.849;136414.0;996877.0;33759140.0;;;;
dado-instituições-individuais-passivo-12-23.csv;BANCO MASTER DE INVESTIMENTO S.A.;9526594.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b2;2.0;8.0;RIO DE JANEIRO;RJ;2023-12-01;832;0;3.118.410;0;0;3.119.242;0;0;0;0;0;0;0;0;3.119.242;0.0;7369.0;3126611.0;;;;
dado-instituições-individuais-passivo-12-23.csv;BANIF - BANCO INTERNACIONAL DO FUNCHAL (BRASIL), S.A.;33884941.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;8.0;RIO DE JANEIRO;RJ;2023-12-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;72518.0;72518.0;;;;
dado-instituições-individuais-passivo-12-23.csv;MASTER S/A CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS;33886862.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;n2;2.0;15.0;RIO DE JANEIRO;RJ;2023-12-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;12735.0;12735.0;;;;
dado-instituições-individuais-passivo-12-24.csv;BANCO MASTER S/A;33923798.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;2.0;RIO DE JANEIRO;RJ;2024-12-01;612.123;18.373.297;30.874.104;1.453;0;49.860.977;1.765.040;181.741;0;2.110.454;0;0;2.292.196;0;53.918.212;1345180.0;3010587.0;58273979.0;;;;
dado-instituições-individuais-passivo-12-24.csv;WILL FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;23862762.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;n1;2.0;14.0;RIO DE JANEIRO;RJ;2024-12-01;0;0;7.438.046;76.357;0;7.514.403;0;0;0;0;0;56.139;56.139;0;7.570.542;0.0;7937141.0;15507683.0;;;;
dado-instituições-individuais-passivo-12-24.csv;BANCO MASTER DE INVESTIMENTO S.A.;9526594.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b2;2.0;13.0;RIO DE JANEIRO;RJ;2024-12-01;0;44.224;13.049.214;0;0;13.093.438;0;0;0;0;0;0;0;0;13.093.438;0.0;25423.0;13118861.0;;;;
dado-instituições-individuais-passivo-12-24.csv;BANCO VOITER S.A.;61024352.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;8.0;RIO DE JANEIRO;RJ;2024-12-01;122.973;0;6.365.075;0;0;6.488.049;105.112;139.518;119.105;0;0;0;258.624;44.240;6.896.025;0.0;193677.0;7089702.0;;;;
dado-instituições-individuais-passivo-12-24.csv;BANCO LETSBANK S.A.;58497702.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;8.0;RIO DE JANEIRO;RJ;2024-12-01;90.410;0;884.938;0;0;975.348;0;45.578;0;0;0;0;45.578;0;1.020.926;0.0;246224.0;1267149.0;;;;
dado-instituições-individuais-passivo-12-24.csv;BANCO MASTER MÚLTIPLO S.A.;33884941.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;8.0;RIO DE JANEIRO;RJ;2024-12-01;0;175.047;0;0;0;175.047;0;0;0;0;0;0;0;0;175.047;0.0;123788.0;298835.0;;;;
dado-instituições-individuais-passivo-12-24.csv;MASTER S/A CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS;33886862.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;n2;2.0;15.0;RIO DE JANEIRO;RJ;2024-12-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;14811.0;14811.0;;;;
dado-instituições-individuais-passivo-12-24.csv;DISTRIBUIDORA INTERCAP DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;2927433.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;n2;2.0;16.0;RIO DE JANEIRO;RJ;2024-12-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;1.0;1.0;;;;
