Nome da Origem;Instituição;Código;Conglomerado Prudencial;Conglomerado Financeiro;Conglomerado Prudencial_1;TCB;TC;TI;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;_2;Arrendamento Mercantil;_3;_4;_5;_6;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);_7
dado-Instituições-Individuais-ativo-09-24.csv;DISTRIBUIDORA INTERCAP DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;2927433.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;n2;2.0;16.0;RIO DE JANEIRO;RJ;2024-09-01;23441.0;0.0;1017.0;0;0;0;0;0;0;0;0.0;28.0;0.0;24485.0;0.0;24485.0;
dado-Instituições-Individuais-ativo-12-22.csv;BANCO MASTER S/A;33923798.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;2.0;RIO DE JANEIRO;RJ;2022-12-01;178141.0;823190.0;7053883.0;3.681.471;3.526.612;0;0;0;0;0;8047149.0;508670.0;404013.0;20541658.0;0.0;20541658.0;
dado-Instituições-Individuais-ativo-12-22.csv;MASTER S/A CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS;33886862.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;n2;2.0;15.0;RIO DE JANEIRO;RJ;2022-12-01;3184.0;12000.0;0.0;0;0;0;0;0;0;0;43002.0;64.0;0.0;58249.0;0.0;58249.0;
dado-Instituições-Individuais-ativo-12-22.csv;BANCO MASTER DE INVESTIMENTO S.A.;9526594.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b2;2.0;8.0;RIO DE JANEIRO;RJ;2022-12-01;8501.0;0.0;0.0;0;0;0;0;0;0;0;15504.0;0.0;853.0;24859.0;0.0;24859.0;
dado-Instituições-Individuais-ativo-12-23.csv;BANCO MASTER S/A;33923798.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;2.0;RIO DE JANEIRO;RJ;2023-12-01;179034.0;601002.0;14654634.0;8.305.754;7.814.600;0;0;0;0;0;9960261.0;2165845.0;766209.0;36141586.0;0.0;36141586.0;
dado-Instituições-Individuais-ativo-12-23.csv;BANCO MASTER DE INVESTIMENTO S.A.;9526594.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b2;2.0;8.0;RIO DE JANEIRO;RJ;2023-12-01;113689.0;2979051.0;0.0;0;0;0;0;0;0;0;33607.0;0.0;1670.0;3128017.0;0.0;3128017.0;
dado-Instituições-Individuais-ativo-12-23.csv;BANIF - BANCO INTERNACIONAL DO FUNCHAL (BRASIL), S.A.;33884941.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;8.0;RIO DE JANEIRO;RJ;2023-12-01;161.0;0.0;0.0;0;0;0;0;0;0;0;379156.0;2994.0;0.0;382310.0;0.0;382310.0;
dado-Instituições-Individuais-ativo-12-23.csv;MASTER S/A CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS;33886862.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;n2;2.0;15.0;RIO DE JANEIRO;RJ;2023-12-01;2398.0;3239.0;0.0;0;0;0;0;0;0;0;38938.0;0.0;0.0;44575.0;0.0;44575.0;
dado-Instituições-Individuais-ativo-12-24.csv;BANCO MASTER S/A;33923798.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;2.0;RIO DE JANEIRO;RJ;2024-12-01;82019.0;384511.0;29472932.0;13.315.841;12.752.918;0;0;0;0;0;15361718.0;3211874.0;1748720.0;63014692.0;0.0;63014692.0;
dado-Instituições-Individuais-ativo-12-24.csv;WILL FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;23862762.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;n1;2.0;14.0;RIO DE JANEIRO;RJ;2024-12-01;303512.0;1507345.0;305541.0;3.421.020;2.850.226;0;0;0;0;0;10741360.0;217460.0;13901.0;15939345.0;0.0;15939345.0;
dado-Instituições-Individuais-ativo-12-24.csv;BANCO MASTER DE INVESTIMENTO S.A.;9526594.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b2;2.0;13.0;RIO DE JANEIRO;RJ;2024-12-01;30750.0;12924057.0;44251.0;0;0;0;0;0;0;0;101332.0;0.0;34793.0;13135183.0;0.0;13135183.0;
dado-Instituições-Individuais-ativo-12-24.csv;BANCO VOITER S.A.;61024352.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;8.0;RIO DE JANEIRO;RJ;2024-12-01;8389.0;3592471.0;1210219.0;1.010.203;983.362;0;0;0;0;0;1455653.0;175933.0;174648.0;7600674.0;0.0;7600674.0;
dado-Instituições-Individuais-ativo-12-24.csv;BANCO LETSBANK S.A.;58497702.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;8.0;RIO DE JANEIRO;RJ;2024-12-01;0.0;42173.0;1069090.0;241.035;231.072;0;0;0;0;0;129373.0;28313.0;1723.0;1501744.0;0.0;1501744.0;
dado-Instituições-Individuais-ativo-12-24.csv;BANCO MASTER MÚLTIPLO S.A.;33884941.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;8.0;RIO DE JANEIRO;RJ;2024-12-01;61.0;0.0;0.0;0;0;0;0;0;0;0;396854.0;2992.0;400022.0;799930.0;0.0;799930.0;
dado-Instituições-Individuais-ativo-12-24.csv;MASTER S/A CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS;33886862.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;n2;2.0;15.0;RIO DE JANEIRO;RJ;2024-12-01;17124.0;0.0;0.0;0;0;0;0;0;0;0;30991.0;0.0;0.0;48115.0;0.0;48115.0;
dado-Instituições-Individuais-ativo-12-24.csv;DISTRIBUIDORA INTERCAP DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;2927433.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;n2;2.0;16.0;RIO DE JANEIRO;RJ;2024-12-01;23406.0;0.0;1044.0;0;0;0;0;0;0;0;0.0;0.0;0.0;24450.0;0.0;24450.0;
